index,value,anomaly_score
0,0.03866700083017349,0.0007005135412327945
1,0.01360000018030405,0.0007090469589456916
2,0.03866700083017349,0.0007085800170898438
3,0.0685340017080307,0.0007067322731018066
4,0.06373400241136551,0.0007066329708322883
5,0.02346700057387352,0.0007013546419329941
6,0.04853399842977524,0.0006989269168116152
7,-0.0013330000219866633,0.0006978139281272888
8,0.04853399842977524,0.0007097478373907506
9,0.003467000089585781,0.0007158100488595665
10,0.05360100045800209,0.0007259412086568773
11,0.003467000089585781,0.0007319434080272913
12,0.06373400241136551,0.0007413060520775616
13,-0.006399999838322401,0.0007476721657440066
14,0.06373400241136551,0.0007550636655651033
15,-0.0013330000219866633,0.0007580779492855072
16,0.04853399842977524,0.000764154945500195
17,-0.0013330000219866633,0.0007696383399888873
18,0.08373399823904037,0.0007758182473480701
19,0.02346700057387352,0.0007795532001182437
20,0.06373400241136551,0.0007833488052710891
21,0.01360000018030405,0.0007848043460398912
22,0.06373400241136551,0.0007866775849834085
23,0.02346700057387352,0.0007871091365814209
24,0.04853399842977524,0.0007925542304292321
25,-0.016534000635147095,0.0007964884862303734
26,0.043733999133110046,0.0007995882187969983
27,0.01360000018030405,0.0008020116947591305
28,0.03359999880194664,0.0008061144035309553
29,0.008533000014722347,0.0008117661927826703
30,0.028534000739455223,0.0008184954058378935
31,-0.0013330000219866633,0.0008274130523204803
32,0.08880099654197693,0.0008367354166693985
33,-0.02160000056028366,0.0008425496052950621
34,0.05360100045800209,0.0008473157649859786
35,-0.006399999838322401,0.0008526858291588724
36,0.0685340017080307,0.0008564247982576489
37,0.02346700057387352,0.0008576747495681047
38,0.05360100045800209,0.000858390936627984
39,-0.016534000635147095,0.0008600736036896706
40,0.04853399842977524,0.0008621947490610182
41,0.008533000014722347,0.0008627521456219256
42,-0.0013330000219866633,0.0008648661896586418
43,0.01360000018030405,0.0008655019337311387
44,0.05360100045800209,0.0008669213275425136
45,0.02346700057387352,0.0008671163232065737
46,0.0685340017080307,0.0008675384451635182
47,0.003467000089585781,0.0008667774382047355
48,0.05360100045800209,0.0008668166119605303
49,-0.016534000635147095,0.0008666090434417129
50,0.02346700057387352,0.0008659873274154961
51,0.01360000018030405,0.0008659285958856344
52,0.028534000739455223,0.000866924412548542
53,-0.016534000635147095,0.0008687634253874421
54,-0.0013330000219866633,0.0008708621026016772
55,-0.04666699841618538,0.00087273761164397
56,0.05360100045800209,0.000873853568919003
57,-0.0013330000219866633,0.0008749886183068156
58,0.06373400241136551,0.0008773378795012832
59,0.02346700057387352,0.0008779721101745963
60,0.06373400241136551,0.0008783109369687736
61,0.03866700083017349,0.0008785449317656457
62,0.07360100001096725,0.0008793167653493583
63,-0.011466999538242817,0.0008792286971583962
64,0.04853399842977524,0.0008793536690063775
65,-0.011466999538242817,0.0008797166519798338
66,0.05360100045800209,0.000879347266163677
67,-0.011466999538242817,0.00087910977890715
68,0.03866700083017349,0.0008788275881670415
69,-0.0013330000219866633,0.0008782349759712815
